Vulnerability,Published Date,Severity
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: MX Series with SPC3 and MS-MPC/-MIC: When URL filtering is enabled and a specific URL request is received a flowd crash occurs (JSA79092) (CVE-2024-30392),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: MX Series and EX9200-15C: Stack-based buffer overflow in aftman (JSA79110) (CVE-2024-30401),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: SRX 300 Series: Specific link local traffic causes a control plane overload (JSA75746) (CVE-2024-21605),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: A malformed BGP tunnel encapsulation attribute will lead to an rpd crash (JSA75739) (CVE-2024-21598),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: SRX 5000 Series with SPC2: Processing of specific crafted packets when ALG is enabled causes a transit traffic Denial of Service (JSA79105) (CVE-2024-30405),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: Junos OS and Junos OS Evolved: RPD crash when CoS-based forwarding (CBF) policy is configured (JSA79174) (CVE-2024-30382),"April 10, 2024",4
PAN-OS: Weak Certificate Strength in Panorama Software Leads to Sensitive Information Disclosure,"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: EX4300 Series: If a specific CLI command is issued PFE crashes will occur (JSA79186) (CVE-2024-30384),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: A malformed BGP tunnel encapsulation attribute will lead to an rpd crash (JSA79095) (CVE-2024-30395),"April 10, 2024",4
PAN-OS: Firewall Denial of Service (DoS) via a Burst of Crafted Packets,"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: SRX4600 Series: A high amount of specific traffic causes packet drops and an eventual PFE crash (JSA79176) (CVE-2024-30398),"April 10, 2024",4
"Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: MX Series with SPC3, and SRX Series: When IPsec authentication is configured with ""hmac-sha-384"" and ""hmac-sha-512"" no authentication of traffic is performed (JSA79188) (CVE-2024-30391)","April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: A low-privileged user can access confidential information (JSA75756) (CVE-2024-21615),"April 10, 2024",4
"Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: When LLDP is enabled and a malformed LLDP packet is received, l2cpd crashes (JSA75759) (CVE-2024-21618)","April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: EX4300 Series: Loopback filter not blocking traffic despite having discard term (JSA79100) (CVE-2024-30410),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS: QFX5000 Series and EX Series: Specific malformed LACP packets will cause flaps (JSA79089) (CVE-2024-30388),"April 10, 2024",4
Juniper Junos OS: 2024-04 Security Bulletin: Junos OS and Junos OS Evolved: Higher CPU consumption on routing engine leads to Denial of Service (DoS) (JSA79099) (CVE-2024-30409),"April 10, 2024",4
PAN-OS: Improper Group Membership Change Vulnerability in Cloud Identity Engine (CIE),"April 10, 2024",4
PAN-OS: Firewall Denial of Service (DoS) via Malformed NTLM Packets,"April 10, 2024",4
Microsoft CVE-2024-26244: Microsoft WDAC OLE DB Provider for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26232: Microsoft Message Queuing (MSMQ) Remote Code Execution Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26230: Windows Telephony Server Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28920: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26231: Windows DNS Server Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-29061: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26239: Windows Telephony Server Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28934: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28909: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-29066: Windows Distributed File System (DFS) Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-28943: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28907: Microsoft Brokering File System Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28915: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26179: Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28901: Windows Remote Access Connection Manager Information Disclosure Vulnerability,"April 09, 2024",5
Microsoft CVE-2024-28941: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28944: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28926: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28924: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",6
Microsoft CVE-2024-26242: Windows Telephony Server Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26241: Win32k Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26239: Windows Telephony Server Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26213: Microsoft Brokering File System Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26223: Windows DNS Server Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-26250: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",6
Microsoft CVE-2024-26205: Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28925: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-28930: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28907: Microsoft Brokering File System Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26241: Win32k Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26245: Windows SMB Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26189: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-28942: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26209: Microsoft Local Security Authority Subsystem Service Information Disclosure Vulnerability,"April 09, 2024",5
Microsoft CVE-2024-26224: Windows DNS Server Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-26195: DHCP Server Service Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-26243: Windows USB Print Driver Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28940: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26254: Microsoft Virtual Machine Bus (VMBus) Denial of Service Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-29066: Windows Distributed File System (DFS) Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-26179: Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28929: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28922: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",4
Microsoft CVE-2024-23593: Lenovo: CVE-2024-23593 Zero Out Boot Manager and drop to UEFI Shell,"April 09, 2024",7
Microsoft CVE-2024-29045: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-28907: Microsoft Brokering File System Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28904: Microsoft Brokering File System Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-20669: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",6
Microsoft CVE-2024-28898: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",6
Microsoft CVE-2024-28924: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",6
Microsoft CVE-2024-28905: Microsoft Brokering File System Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28939: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28900: Windows Remote Access Connection Manager Information Disclosure Vulnerability,"April 09, 2024",5
Microsoft CVE-2024-26195: DHCP Server Service Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-26229: Windows CSC Service Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26207: Windows Remote Access Connection Manager Information Disclosure Vulnerability,"April 09, 2024",5
Microsoft CVE-2024-26209: Microsoft Local Security Authority Subsystem Service Information Disclosure Vulnerability,"April 09, 2024",5
Microsoft CVE-2024-28930: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26234: Proxy Driver Spoofing Vulnerability,"April 09, 2024",6
Microsoft CVE-2024-29062: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-29046: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28909: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26214: Microsoft WDAC SQL Server ODBC Driver Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-29044: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-20693: Windows Kernel Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28906: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26228: Windows Cryptographic Services Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-20669: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",6
Microsoft CVE-2024-28907: Microsoft Brokering File System Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28945: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26227: Windows DNS Server Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-26202: DHCP Server Service Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-26248: Windows Kerberos Elevation of Privilege Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26194: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26241: Win32k Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28942: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26242: Windows Telephony Server Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26210: Microsoft WDAC OLE DB Provider for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28933: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26218: Windows Kernel Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28930: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26229: Windows CSC Service Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26240: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-26227: Windows DNS Server Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-28910: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26228: Windows Cryptographic Services Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26236: Windows Update Stack Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28919: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",6
Microsoft CVE-2024-26245: Windows SMB Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26232: Microsoft Message Queuing (MSMQ) Remote Code Execution Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26220: Windows Mobile Hotspot Information Disclosure Vulnerability,"April 09, 2024",4
Microsoft CVE-2024-29044: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28927: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-29050: Windows Cryptographic Services Remote Code Execution Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-23594: Lenovo: CVE-2024-23594 Stack Buffer Overflow in LenovoBT.efi,"April 09, 2024",6
Microsoft CVE-2024-28929: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26235: Windows Update Stack Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-20693: Windows Kernel Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26221: Windows DNS Server Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-26213: Microsoft Brokering File System Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28912: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26195: DHCP Server Service Remote Code Execution Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-28904: Microsoft Brokering File System Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28925: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-21447: Windows Authentication Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26172: Windows DWM Core Library Information Disclosure  Vulnerability,"April 09, 2024",5
Microsoft CVE-2024-29988: SmartScreen Prompt Security Feature Bypass Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-29985: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-20688: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26183: Windows Kerberos Denial of Service Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-29984: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-20689: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28922: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",4
Microsoft CVE-2024-28913: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26228: Windows Cryptographic Services Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28901: Windows Remote Access Connection Manager Information Disclosure Vulnerability,"April 09, 2024",5
Microsoft CVE-2024-26237: Windows Defender Credential Guard Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26205: Windows Routing and Remote Access Service (RRAS) Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28908: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26255: Windows Remote Access Connection Manager Information Disclosure Vulnerability,"April 09, 2024",5
Microsoft CVE-2024-28943: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-28911: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26215: DHCP Server Service Denial of Service Vulnerability,"April 09, 2024",8
Microsoft CVE-2024-20693: Windows Kernel Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28898: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",6
Microsoft CVE-2024-26232: Microsoft Message Queuing (MSMQ) Remote Code Execution Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26180: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",8
Microsoft Office: CVE-2024-26257: Microsoft Excel Remote Code Execution Vulnerability,"April 09, 2024",4
Microsoft CVE-2024-29984: Microsoft OLE DB Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-21447: Windows Authentication Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26230: Windows Telephony Server Elevation of Privilege Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-29050: Windows Cryptographic Services Remote Code Execution Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-28934: Microsoft ODBC Driver for SQL Server Remote Code Execution Vulnerability,"April 09, 2024",9
Microsoft CVE-2024-26175: Secure Boot Security Feature Bypass Vulnerability,"April 09, 2024",7
Microsoft CVE-2024-26219: HTTP.sys Denial of Service Vulnerability,"April 09, 2024",8
Huawei EulerOS: CVE-2023-52340: kernel security update,"April 08, 2024",4
SUSE: CVE-2024-0793: SUSE Linux Security Advisory,"April 08, 2024",4
Microsoft Edge Chromium: CVE-2024-29049,"April 05, 2024",4
Microsoft Edge Chromium: CVE-2024-29981,"April 05, 2024",4
FFmpeg: CVE-2024-28661: Unspecified Security Vulnerability,"April 05, 2024",4
Debian: CVE-2024-3159: chromium -- security update,"April 05, 2024",4
Debian: CVE-2024-3156: chromium -- security update,"April 05, 2024",4
Microsoft Edge Chromium: CVE-2024-3156 Inappropriate implementation in V8,"April 05, 2024",4
Microsoft Edge Chromium: CVE-2024-3158 Use after free in Bookmarks,"April 05, 2024",4
Debian: CVE-2024-3158: chromium -- security update,"April 05, 2024",4
Debian: CVE-2024-3159: chromium -- security update,"April 05, 2024",4
CentOS Linux: CVE-2024-31083: Important: X.Org server security update (CESA-2024:1785),"April 05, 2024",4
Microsoft Edge Chromium: CVE-2024-29981,"April 05, 2024",4
FFmpeg: CVE-2024-28661: Unspecified Security Vulnerability,"April 05, 2024",4
Ubuntu: (Multiple Advisories) (CVE-2024-31083): X.Org X Server vulnerabilities,"April 04, 2024",4
Ubuntu: (Multiple Advisories) (CVE-2024-24795): Apache HTTP Server vulnerabilities,"April 04, 2024",4
SUSE: CVE-2023-45288: SUSE Linux Security Advisory,"April 04, 2024",4
Ubuntu: (Multiple Advisories) (CVE-2024-31082): X.Org X Server vulnerabilities,"April 04, 2024",4
Ubuntu: (Multiple Advisories) (CVE-2024-27316): Apache HTTP Server vulnerabilities,"April 04, 2024",4
SUSE: CVE-2024-31080: SUSE Linux Security Advisory,"April 04, 2024",4
SUSE: CVE-2024-31081: SUSE Linux Security Advisory,"April 04, 2024",4
CentOS Linux: CVE-2024-31081: Important: X.Org server security update (CESA-2024:1785),"April 04, 2024",4
Red Hat: CVE-2024-27316: httpd: CONTINUATION frames DoS (Multiple Advisories),"April 04, 2024",8
SUSE: CVE-2024-28182: SUSE Linux Security Advisory,"April 04, 2024",4
SUSE: CVE-2024-31082: SUSE Linux Security Advisory,"April 04, 2024",4
Ubuntu: (Multiple Advisories) (CVE-2024-31080): X.Org X Server vulnerabilities,"April 04, 2024",4
Red Hat: CVE-2024-31081: Important: X.Org server security update (RHSA-2024:1785),"April 04, 2024",4
Red Hat: CVE-2024-31080: Important: X.Org server security update (RHSA-2024:1785),"April 04, 2024",4
CentOS Linux: CVE-2024-31080: Important: X.Org server security update (CESA-2024:1785),"April 04, 2024",4
Ubuntu: (Multiple Advisories) (CVE-2024-31080): X.Org X Server vulnerabilities,"April 04, 2024",4
SUSE: CVE-2024-31082: SUSE Linux Security Advisory,"April 04, 2024",4
Google Chrome Vulnerability: CVE-2024-3158 Use after free in Bookmarks,"April 03, 2024",4
Google Chrome Vulnerability: CVE-2024-3159 Out of bounds memory access in V8,"April 03, 2024",4
SUSE: CVE-2024-28219: SUSE Linux Security Advisory,"April 03, 2024",4
Google Chrome Vulnerability: CVE-2024-3156 Inappropriate implementation in V8,"April 03, 2024",4
Debian: CVE-2024-28219: pillow -- security update,"April 03, 2024",4
Pulse Secure Pulse Connect Secure: CVE-2024-21894: Heap Overflow,"April 02, 2024",8
Amazon Linux AMI 2: CVE-2024-1627: Security patch for kernel (Multiple Advisories),"April 02, 2024",4
Pulse Secure Pulse Connect Secure: CVE-2024-22053: Heap Overflow,"April 02, 2024",8
Pulse Secure Pulse Connect Secure: CVE-2024-22052: Null Pointer Dereference,"April 02, 2024",8
Pulse Secure Pulse Connect Secure: CVE-2024-22023: XML Entity Expansion (XEE),"April 02, 2024",5
Rocky Linux: CVE-2024-3094: xz: Embedded Malicious Code,"March 29, 2024",10
Alpine Linux: CVE-2024-3094: xz: Embedded Malicious Code,"March 29, 2024",10
Oracle Linux: (CVE-2024-3094): xz: Embedded Malicious Code,"March 29, 2024",10
Alma Linux: CVE-2024-3094: xz: Embedded Malicious Code,"March 29, 2024",10
SUSE: CVE-2024-3094: xz: Embedded Malicious Code,"March 29, 2024",10
Gentoo Linux: CVE-2024-3094: XZ utils: Backdoor in release tarballs,"March 29, 2024",10
